year,BC,CH4,CO2,HC,N2O,NH3,NOx,OC,SO2,VOC
1843,0.0020653289856970066,0.04199165502173928,0.0568650051833496,0.0,0.0038794209341056532,-0.0005658248285433157,-0.0003140869067510948,-0.015403938695154083,-0.006935387926003126,0.021845704227728906
1844,0.0021157538648355666,0.042491994457653934,0.057542563726874274,0.0,0.003925645053656096,-0.0005757714573015951,-0.00032733169867296376,-0.01578431979574008,-0.007344210235624161,0.022328322380682327
1845,0.0021756691948827214,0.04299300442021542,0.05822103029608234,0.0,0.003971931120160259,-0.0005856711194362756,-0.00034296233557256164,-0.016185243660700704,-0.007844291241893538,0.02283735338735086
1846,0.002236663498495616,0.04349468256085,0.05890040171054052,0.0,0.004018278916643963,-0.0005955530690274319,-0.00035791133262583983,-0.01659127386939517,-0.00824776988460959,0.023315116419698648
1847,0.0023094936074968893,0.043997026539210025,0.05958067480095525,0.0,0.004064688226892937,-0.0006054324861454716,-0.0003757943022142202,-0.01702271003245192,-0.008745070026283807,0.023822969332041498
1848,0.0023691490724058184,0.044500034023145105,0.06026184640913367,0.0,0.004111158835450254,-0.0006153095671375179,-0.0003921765858490108,-0.017422474062353584,-0.00922065846209353,0.024307336476798072
1849,0.002428215070156993,0.04500370268867337,0.060943913387944804,0.0,0.004157690527613671,-0.0006251975391687137,-0.0004090202433764563,-0.017818079676768968,-0.009722286443600086,0.024801807804030896
1850,0.002495074861435339,0.045508030219952936,0.06162687260128069,0.0,0.004204283089432893,-0.0006351057078925287,-0.00042814621565492167,-0.01823066943250894,-0.010274292565510372,0.0253246311581391
1851,0.0025550609110531956,0.04592773600136548,0.06241277129582548,3.813764034373893e-11,0.004281633919117211,-0.0006443851158008849,-0.00044463069198082535,-0.018629580971663378,-0.010732550588750566,0.025779708540069106
1852,0.0026163645404519466,0.04636533430917082,0.06330872227423835,1.0483563208517454e-10,0.004382008755339402,-0.0006532553697867725,-0.0004620862982861308,-0.019041740325232908,-0.011189295335616727,0.026227727847665985
1853,0.0026803511519905227,0.04688465213718608,0.06425872221893678,1.9294200974256557e-10,0.004510690578842468,-0.000661835967546123,-0.0004804932337992501,-0.019471909727538837,-0.011642988171066236,0.02668224384750466
1854,0.002767839833143276,0.04747737851789773,0.0652127768898776,2.971158783024929e-10,0.004662131230789745,-0.0006702151561332622,-0.0005090017685447665,-0.019959159536573595,-0.012418990959056285,0.02723874959282994
1855,0.002845409638563498,0.04816294131376444,0.06612929305317579,4.133687301328428e-10,0.004834703815755723,-0.000678430806391257,-0.0005335329125213309,-0.02043538242707684,-0.013069115095925765,0.027744886414077706
1856,0.0029237192374510445,0.048899403065090274,0.06704463581813806,5.387219311060388e-10,0.005023646461810015,-0.0006865422758894679,-0.0005610733729604415,-0.020915076319185787,-0.01380908107751304,0.028275483737221746
1857,0.0029907986819047534,0.04970084387018559,0.06805552602571445,6.709509541244414e-10,0.005219427394335618,-0.0006945802187745926,-0.0005860634873554999,-0.02137522918269024,-0.014447639247876898,0.02877041877939792
1858,0.0030499516527420813,0.050585467184041014,0.06915870595352552,8.083943898079105e-10,0.005412372867519829,-0.0007025780153746605,-0.0006106755584013509,-0.02182484771662367,-0.015033175677474725,0.029242064253030272
1859,0.003117544771942782,0.05155183153456435,0.07035396866602406,9.498113284365405e-10,0.005632418728581649,-0.0007105475486252018,-0.0006399885645301143,-0.022291724602534514,-0.015784953436923106,0.029753976804664496
1860,0.0031956343090192986,0.052562449577380474,0.0716553700336521,1.09427486231408e-09,0.005883898312362367,-0.0007185052588137925,-0.0006769484866166618,-0.022780009459926993,-0.016746386649948847,0.03032211578398789
